date,count
2020-04-14,21542
2020-04-15,21936
2020-04-16,43445
2020-04-17,32305
2020-04-18,25330
2020-04-19,22363
2020-04-20,23845
2020-04-21,23975
2020-04-22,46900
2020-04-23,25420
2020-04-24,28818
2020-04-25,26497
2020-04-26,24605
2020-04-27,20666
2020-04-28,23214
2020-04-29,43266
2020-04-30,60311
2020-05-01,72592
2020-05-02,52091
2020-05-03,29673
2020-05-04,24388
2020-05-05,36233
2020-05-06,34487
2020-05-07,31181
2020-05-08,26637
2020-05-09,69630
2020-05-10,114132
2020-05-11,141816
2020-05-12,191464
2020-05-13,103574
2020-05-14,49534
2020-05-15,35062
